Dataset,Classifier,Train %,Run,Train Acc,CV Acc,Test Acc,Best Params
Adult,SVM-RBF,20,1,0.8723,0.8544,0.8545,"{'clf__gamma': 0.1, 'clf__C': 1}"
Adult,RandomForest,20,1,1.0,0.8519,0.8469,"{'clf__max_depth': None, 'clf__n_estimators': 200}"
Adult,XGBoost,20,1,0.8961,0.8582,0.8603,"{'clf__n_estimators': 200, 'clf__max_depth': 6, 'clf__learning_rate': 0.05}"
Adult,NeuralNet,20,1,0.8857,0.8548,0.8518,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Adult,KNN,20,1,0.8681,0.8417,0.8416,"{'clf__n_neighbors': 11, 'clf__weights': 'uniform'}"
Adult,SVM-RBF,20,2,0.8624,0.8495,0.8536,"{'clf__gamma': 'scale', 'clf__C': 1}"
Adult,RandomForest,20,2,0.991,0.8484,0.8527,"{'clf__max_depth': 30, 'clf__n_estimators': 200}"
Adult,XGBoost,20,2,0.8879,0.8543,0.8617,"{'clf__n_estimators': 200, 'clf__max_depth': 6, 'clf__learning_rate': 0.05}"
Adult,NeuralNet,20,2,0.8597,0.8493,0.8567,"{'clf__hidden_layer_sizes': (100,), 'clf__alpha': 0.0001}"
Adult,KNN,20,2,0.8647,0.8409,0.8414,"{'clf__n_neighbors': 11, 'clf__weights': 'uniform'}"
Adult,SVM-RBF,20,3,0.874,0.8571,0.8548,"{'clf__gamma': 0.1, 'clf__C': 1}"
Adult,RandomForest,20,3,0.9861,0.8575,0.8542,"{'clf__max_depth': 30, 'clf__n_estimators': 500}"
Adult,XGBoost,20,3,0.8894,0.8636,0.8618,"{'clf__n_estimators': 200, 'clf__max_depth': 6, 'clf__learning_rate': 0.05}"
Adult,NeuralNet,20,3,0.8662,0.8564,0.8543,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.001}"
Adult,KNN,20,3,0.8682,0.8438,0.8418,"{'clf__n_neighbors': 11, 'clf__weights': 'uniform'}"
Adult,SVM-RBF,50,1,0.8674,0.8544,0.8535,"{'clf__gamma': 0.1, 'clf__C': 1}"
Adult,RandomForest,50,1,0.9806,0.8566,0.8518,"{'clf__max_depth': 30, 'clf__n_estimators': 500}"
Adult,XGBoost,50,1,0.8775,0.8611,0.8634,"{'clf__n_estimators': 200, 'clf__max_depth': 6, 'clf__learning_rate': 0.05}"
Adult,NeuralNet,50,1,0.8605,0.8574,0.8572,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Adult,KNN,50,1,0.8678,0.8435,0.8442,"{'clf__n_neighbors': 11, 'clf__weights': 'uniform'}"
Adult,SVM-RBF,50,2,0.8665,0.8513,0.8566,"{'clf__gamma': 0.1, 'clf__C': 1}"
Adult,RandomForest,50,2,0.9809,0.8526,0.8557,"{'clf__max_depth': 30, 'clf__n_estimators': 200}"
Adult,XGBoost,50,2,0.8896,0.8607,0.8645,"{'clf__n_estimators': 400, 'clf__max_depth': 6, 'clf__learning_rate': 0.05}"
Adult,NeuralNet,50,2,0.8808,0.8554,0.8535,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Adult,KNN,50,2,0.8673,0.8414,0.8444,"{'clf__n_neighbors': 11, 'clf__weights': 'uniform'}"
Adult,SVM-RBF,50,3,0.8609,0.8533,0.853,"{'clf__gamma': 'scale', 'clf__C': 1}"
Adult,RandomForest,50,3,0.9793,0.8533,0.8576,"{'clf__max_depth': 30, 'clf__n_estimators': 500}"
Adult,XGBoost,50,3,0.8776,0.8604,0.8656,"{'clf__n_estimators': 200, 'clf__max_depth': 6, 'clf__learning_rate': 0.05}"
Adult,NeuralNet,50,3,0.8623,0.8559,0.8564,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Adult,KNN,50,3,0.8686,0.8432,0.8455,"{'clf__n_neighbors': 11, 'clf__weights': 'uniform'}"
Adult,SVM-RBF,80,1,0.8651,0.8558,0.8556,"{'clf__gamma': 0.1, 'clf__C': 1}"
Adult,RandomForest,80,1,0.9707,0.855,0.8565,"{'clf__max_depth': 30, 'clf__n_estimators': 200}"
Adult,XGBoost,80,1,0.8809,0.8617,0.8655,"{'clf__n_estimators': 400, 'clf__max_depth': 6, 'clf__learning_rate': 0.05}"
